ENSEMBL,SYMBOL,Binding_Sites,In_NDD_Databases,NDD_Categories
ENSG00000151150,ANK3,4,TRUE,Synaptopathy
ENSG00000171791,BCL2,4,FALSE,NA
ENSG00000089177,KIF16B,3,FALSE,NA
ENSG00000092068,SLC7A8,3,FALSE,NA
ENSG00000106034,CPED1,3,FALSE,NA
ENSG00000144724,PTPRG,3,FALSE,NA
ENSG00000145012,LPP,3,FALSE,NA
ENSG00000151693,ASAP2,3,FALSE,NA
ENSG00000171587,DSCAM,3,TRUE,Synaptopathy
ENSG00000180263,FGD6,3,FALSE,NA
ENSG00000249364,LINC02997,3,FALSE,NA
ENSG00000259636,LOC105370954,3,FALSE,NA
ENSG00000001084,GCLC,2,FALSE,NA
ENSG00000049618,ARID1B,2,TRUE,ASD_SFARI_HighConf
ENSG00000068024,HDAC4,2,FALSE,NA
ENSG00000077044,DGKD,2,FALSE,NA
ENSG00000077549,CAPZB,2,FALSE,NA
ENSG00000078401,EDN1,2,FALSE,NA
ENSG00000079482,OPHN1,2,FALSE,NA
ENSG00000088726,TMEM40,2,FALSE,NA
ENSG00000090530,P3H2,2,FALSE,NA
ENSG00000091527,CDV3,2,FALSE,NA
ENSG00000100387,RBX1,2,FALSE,NA
ENSG00000101966,XIAP,2,FALSE,NA
ENSG00000105738,SIPA1L3,2,FALSE,NA
ENSG00000111452,ADGRD1,2,FALSE,NA
ENSG00000112159,MDN1,2,FALSE,NA
ENSG00000113448,PDE4D,2,FALSE,NA
ENSG00000114948,ADAM23,2,FALSE,NA
ENSG00000115977,AAK1,2,FALSE,NA
ENSG00000116711,PLA2G4A,2,FALSE,NA
ENSG00000118473,SGIP1,2,FALSE,NA
ENSG00000121989,ACVR2A,2,FALSE,NA
ENSG00000130816,DNMT1,2,FALSE,NA
ENSG00000132874,SLC14A2,2,FALSE,NA
ENSG00000136040,PLXNC1,2,FALSE,NA
ENSG00000136111,TBC1D4,2,FALSE,NA
ENSG00000136158,SPRY2,2,FALSE,NA
ENSG00000136231,IGF2BP3,2,FALSE,NA
ENSG00000136943,CTSV,2,FALSE,NA
ENSG00000137766,UNC13C,2,FALSE,NA
ENSG00000137869,CYP19A1,2,FALSE,NA
ENSG00000141905,NFIC,2,FALSE,NA
ENSG00000147010,SH3KBP1,2,FALSE,NA
ENSG00000149269,PAK1,2,FALSE,NA
ENSG00000150347,ARID5B,2,FALSE,NA
ENSG00000152818,UTRN,2,FALSE,NA
ENSG00000153317,ASAP1,2,FALSE,NA
ENSG00000155511,GRIA1,2,FALSE,NA
ENSG00000157483,MYO1E,2,FALSE,NA
ENSG00000163071,SPATA18,2,FALSE,NA
ENSG00000165312,OTUD1,2,FALSE,NA
ENSG00000165359,INTS6L,2,FALSE,NA
ENSG00000165678,GHITM,2,FALSE,NA
ENSG00000165995,CACNB2,2,TRUE,Synaptopathy
ENSG00000166444,DENND2B,2,FALSE,NA
ENSG00000166734,GOLM2,2,FALSE,NA
ENSG00000167522,ANKRD11,2,FALSE,NA
ENSG00000168038,ULK4,2,FALSE,NA
ENSG00000168234,TTC39C,2,FALSE,NA
ENSG00000168301,KCTD6,2,FALSE,NA
ENSG00000168658,VWA3B,2,FALSE,NA
ENSG00000172965,MIR4435-2HG,2,FALSE,NA
ENSG00000175600,SUGCT,2,FALSE,NA
ENSG00000182185,RAD51B,2,FALSE,NA
ENSG00000183690,EFHC2,2,FALSE,NA
ENSG00000186329,TMEM212,2,FALSE,NA
ENSG00000196141,SPATS2L,2,FALSE,NA
ENSG00000196950,SLC39A10,2,FALSE,NA
ENSG00000198742,SMURF1,2,FALSE,NA
ENSG00000198964,SGMS1,2,FALSE,NA
ENSG00000204406,MBD5,2,FALSE,NA
ENSG00000206432,TMEM200C,2,FALSE,NA
ENSG00000225546,LINC02476,2,FALSE,NA
ENSG00000236520,GPC6-AS1,2,FALSE,NA
ENSG00000245479,LINC01585,2,FALSE,NA
ENSG00000249618,LINC02465,2,FALSE,NA
ENSG00000250320,EDIL3-DT,2,FALSE,NA
ENSG00000257859,CASC18,2,FALSE,NA
ENSG00000281404,LINC01176,2,FALSE,NA
ENSG00000286929,LOC105370344,2,FALSE,NA
ENSG00000286963,LOC101929386,2,FALSE,NA
ENSG00000287524,LOC124907968,2,FALSE,NA
ENSG00000287560,LOC124902532,2,FALSE,NA
ENSG00000287597,LOC105374736,2,FALSE,NA
