"Gene","Degree","Betweenness","Eigen_Centrality","Community"
"NRXN1",52,6531.42527534916,0.169368245520522,7
"GRIA1",52,7891.89756301074,0.228056766529692,7
"GNAI1",48,6363.72290270593,0.30897887866658,7
"DLG1",44,5971.72260457357,0.151746925791663,7
"DLG2",40,2700.98644104927,0.128115797214205,7
"EDN1",38,3853.40907227796,0.397709585113731,7
"PRKCB",36,3951.09539118338,0.29276204747507,7
"GNAL",36,5099.76226351551,0.11433987501543,7
"GNG5",34,2964.06140208057,0.123889999091671,7
"GRID2",32,2541.28379649143,0.124577818422525,7
"AKAP13",32,4563.77419728776,0.0771709425697654,7
"ANK3",30,1902.04820974786,0.125458834834268,7
"ATP2B2",30,5017.796539478,0.0775582204726068,7
"CHN2",28,3919.01397604367,0.0462573948132498,7
"CTNND2",28,3269.40638857738,0.15871519265894,7
