"Gene","Degree","Betweenness","Eigen_Centrality","Community"
"CASP3",90,20650.0691176201,0.892662902387159,5
"CREBBP",88,20429.676898904,0.777660833099964,5
"UBC",86,13890.1825240748,0.614403530134425,5
"STAT3",80,14193.2350720551,1,5
"PTK2B",60,8592.63557012189,0.469275215477311,11
"IGF1R",58,6203.77788329425,0.722153471457141,11
"CBL",56,7284.13007553397,0.535601283961462,11
"AR",56,9045.73158770943,0.712000627531919,5
"IRS1",52,6676.48698876722,0.516972188697243,11
"SMAD3",52,4707.23537733924,0.746528187223577,5
"NRXN1",52,6531.42527534916,0.169368245520522,7
"GRIA1",52,7891.89756301074,0.228056766529692,7
"TFRC",50,11318.8760636223,0.314254999579373,8
"RBX1",48,8167.88225091635,0.441597272189567,5
"CDH2",48,7829.5648841551,0.582872209608051,5
"GNAI1",48,6363.72290270593,0.30897887866658,7
"HDAC4",46,7336.11579670466,0.515067220636248,5
"LEF1",46,4045.10319850564,0.577371931725354,5
"SH3GL2",46,7008.77169551568,0.322343997792631,11
"RBPJ",44,4906.40771281398,0.465718753154798,5
"DLG1",44,5971.72260457357,0.151746925791663,7
"YWHAB",44,6183.54108916371,0.284779699889127,11
"KITLG",42,4339.76675435097,0.399351857067909,8
"SMARCA2",42,1914.04464667693,0.29625270556345,2
"SMAD4",42,2833.15145538124,0.627012511041803,5
"PRKN",42,7588.98619965596,0.280422493772494,5
"NFKB1",40,3605.90907482049,0.494293016731498,5
"BIN1",40,5341.50034934676,0.188718886843197,11
"CD86",40,5317.55969744531,0.314881007478703,8
"ATRX",40,2903.23243999654,0.280056088920987,2
"DLG2",40,2700.98644104927,0.128115797214205,7
"EDN1",38,3853.40907227796,0.397709585113731,7
"SH3KBP1",38,2837.28544975494,0.293086986316072,11
"ITCH",38,3180.83573705655,0.356445957570374,5
"PRKCB",36,3951.09539118338,0.29276204747507,7
"GNAL",36,5099.76226351551,0.11433987501543,7
"DNMT1",36,5019.00615135475,0.453119364398868,5
"ROCK1",36,5841.85567789817,0.335075213317637,11
"GNG5",34,2964.06140208057,0.123889999091671,7
"VAV1",34,2283.57582853585,0.232504833008746,8
"GRID2",32,2541.28379649143,0.124577818422525,7
"MYO1E",32,6159.83931396857,0.0754831588927937,10
"CTBP1",32,5262.71451191062,0.284990534771912,5
"DDX10",32,2921.07112107187,0.0389420236123891,6
"AKAP13",32,4563.77419728776,0.0771709425697654,7
"SMURF1",32,1588.14737603012,0.350599639928238,5
"PECAM1",32,2717.21668578368,0.3922672428686,8
"PAK1",30,3540.10682500796,0.167438098495711,8
"ANK3",30,1902.04820974786,0.125458834834268,7
"ATP2B2",30,5017.796539478,0.0775582204726068,7
"IFNB1",30,1817.67827930647,0.311756203176441,8
"XIAP",30,2133.11742106461,0.334988434106034,5
"EPS15L1",30,2977.88044033149,0.227376737872087,11
"TAF1L",30,2878.61372614339,0.144797182379235,2
"FMN1",30,3269.47316138061,0.0928409000061795,9
"NTN1",28,2469.47389580288,0.0709896125564914,3
"CHN2",28,3919.01397604367,0.0462573948132498,7
"ZAP70",28,2080.55229631713,0.288417595573213,8
"CTNND2",28,3269.40638857738,0.15871519265894,7
"CACNB2",28,3169.74626163404,0.0839771322007622,7
"PDE4D",28,3277.99450476824,0.0622785700460157,7
"ARHGEF2",28,2049.44355358284,0.0933606891139559,7
"BCL2",28,2646.72710859006,0.241808108670265,5
"AGFG1",28,4526.09356865151,0.0342229874501641,9
"GPHN",28,6649.8573204835,0.0905933352902228,7
"RAD51B",28,1722.09322814753,0.151713867964543,2
"EXOC4",26,2800.62648608864,0.0522237216370953,9
"GAB1",26,1709.88943833023,0.275429703586053,11
"LPL",26,3636.42467655153,0.142366865343639,2
"CAMK2D",26,2821.364742639,0.171065030980048,7
"AKAP9",26,1757.39844569349,0.0841816092477226,7
"TOP1",26,3053.83224139774,0.199532525279656,2
"IMMP2L",26,3035.34087638486,0.083616430092381,7
"ARHGAP35",26,3507.1344592979,0.110252816863139,7
"PWP1",26,2211.3367196066,0.0377258130258103,6
"SCFD1",26,3213.80092859178,0.0308672535367738,9
"RBBP8",26,1237.3273878006,0.173777044686507,2
"CAPZB",26,4368.16705863183,0.102341113839088,11
"ERCC1",24,2534.30981722052,0.14879549170652,2
"KCNA5",24,849.373201810419,0.0925302096920079,7
"PTCH1",24,1893.10574630145,0.326382512644009,5
"PLA2G4A",24,4970.29612256418,0.116276939319697,19
"SEC63",24,3312.95013382614,0.0117540656662763,9
"CXCR3",24,2104.32989061612,0.192874156402741,8
"PIP4K2A",24,2046.65699124069,0.0641039127214823,11
"TLR7",24,1133.01415436825,0.166758765405724,8
"ITSN1",24,2169.52878108316,0.124825539947433,11
"CARD11",24,1043.43884041747,0.239200354289621,8
"DPP10",24,2334.09177148717,0.0495680151593867,7
"ETS1",24,4490.98358134898,0.353520642261535,5
"NLGN1",24,1335.03461645723,0.138891460536719,7
"MYO5A",24,2199.01591905983,0.0830285915660342,9
"KCNJ2",22,1207.53632466824,0.0531749487854993,7
"KRR1",22,1148.15787812976,0.0132662183902899,6
"ARHGAP26",22,1423.85254938698,0.0618081107478542,7
"UTP6",22,1691.28568708948,0.0103836320390972,6
"OLIG2",22,2010.77714251809,0.209817788891339,5
"UBE2E1",22,806.753826778408,0.213898609227796,5
"SPRY2",22,1821.04496291044,0.206957813730057,11
"APBB1IP",22,736.449704445113,0.137402892886676,11
"PARD3",22,1829.7954032994,0.198589119629,5
"VPS45",22,1823.61822339375,0.0370211476064801,9
"PSME4",22,2521.47354649324,0.139617062012008,5
"PLD3",22,1792.92342211135,0.0864479250742086,11
"ITGA6",22,1854.35206929828,0.243049459969244,5
"ANGPT1",22,1331.87621861677,0.27253044580026,8
"SMARCD3",20,877.862578650837,0.131335892934163,5
"SPARC",20,5508.82380853349,0.0929078497016251,17
"ANK1",20,1227.27362272991,0.0946007167043323,9
"USP15",20,646.534017575397,0.221630728568085,5
"SEMA3D",20,775.075725427259,0.0711923383822716,3
"NT5C2",20,3664.68291780237,0.0656415792432343,7
"COG5",20,1096.70031386356,0.0272227471347306,9
"CNDP2",20,2247.4707584787,0.011878219443521,15
"BLM",20,343.849880902547,0.142445408196857,2
"FERMT2",20,650.682772964413,0.15003591797613,11
"PSEN2",20,1950.03732675062,0.142407507897765,5
"PLXNA2",20,1802.36088890401,0.0438969343633087,3
"SGIP1",20,1181.03701753635,0.0813513855172714,11
"LPAR1",20,1893.96384094452,0.17718520788513,7
"KSR1",20,1287.74219659907,0.0725362007066165,7
"MAP3K1",20,1057.16927068005,0.151306382921932,8
"PLXNB2",20,3010.36758348807,0.0826694094737005,3
"GPATCH4",20,1470.97361517935,0.0270433236401493,6
"ASAP1",20,972.909339401912,0.113297594092619,11
"FGF6",18,205.584225612128,0.249798977683777,11
"LRPPRC",18,3953.58693613686,0.105459100876538,5
"FERMT3",18,392.418129269316,0.0718060887472018,11
"PLXNC1",18,1856.04556814712,0.0283878250583164,3
"HTR2C",18,1714.64213905375,0.0516957886948515,7
"NEUROD1",18,2386.46439772226,0.141591017228699,12
"PIWIL4",18,1953.23814296814,0.0766601220319129,6
"KAT6B",18,368.395409758779,0.158036443621727,2
"GABBR2",18,1090.64817404746,0.08998139873418,7
"SEC23B",18,1870.28393010183,0.0195106744866088,9
"EPB41L3",18,499.122054192573,0.0883905812761118,7
"PIK3C2B",18,706.634471776427,0.0505956908401117,11
"PPP2R2A",18,2020.68687464003,0.0863155180078514,13
"PTPN14",18,1758.875739076,0.0917252156769466,10
"SNX5",18,2344.20614798872,0.0710139111214876,9
"AGO4",18,1156.80721867885,0.0873660611748839,6
"MLLT3",18,1194.91796624683,0.12806536831775,2
"KCNQ3",18,325.888699314769,0.0544012384709123,7
"PTPRA",18,1968.57091033026,0.0551722650158395,10
"UNC13B",18,1126.55930132035,0.0323151038471566,9
"SUPT3H",18,3207.97959665661,0.0765794130613269,2
"NOLC1",18,1883.19240664384,0.0129097153626312,6
"CYP19A1",18,1655.05914248686,0.169326496966799,5
"FHIT",18,1423.44902838149,0.161706788259875,5
"PHC3",18,702.820650035196,0.148903540466537,5
"TLN2",18,1127.15529861728,0.125644704402061,11
"NTF3",18,460.200711638898,0.26217019323122,11
"TBC1D1",16,1964.94283205896,0.0962760204905576,11
"PEPD",16,1934.3075178528,0.0200741016897412,15
"RHEB",16,1131.95560729619,0.116381764866087,11
"APBA1",16,505.25170403624,0.0605118547055369,7
"ARL1",16,620.436239435022,0.021097742504319,9
"RIOK2",16,272.211914974959,0.0126340228580528,6
"CPSF2",16,1187.84344546287,0.0280467376723366,6
"TRMT61B",16,1002.16582352184,0.0148697433424954,6
"TANC1",16,2686.71745127901,0.0528472103179343,7
"PRKCE",16,416.745991535811,0.202604568702478,7
"PRKCH",16,2894.81800427571,0.107026494180727,7
"UVRAG",16,1950.29838396058,0.0736505329139438,19
"CTNNAL1",16,2052.12344751786,0.0701305484003789,18
"STX7",16,1269.69291834452,0.0110284630426164,9
"CECR2",16,321.569697614553,0.0676095454737926,2
"OPHN1",16,1422.42946656126,0.0771922931950984,11
"ARID1B",16,269.948518218058,0.114780298944401,2
"SMC5",16,466.652045445051,0.116478891665137,2
"LEPR",16,1066.51191009798,0.213027015840984,8
"BCL11B",16,369.76778792024,0.178184226845375,5
"WASF1",16,1393.64071308198,0.0440728182679375,7
"CHM",16,1735.81047419927,0.011192756719213,9
"HDAC9",16,160.984396665396,0.170788517929049,5
"THADA",16,1863.82269561832,0.00772407562632274,6
"OTUD7B",16,1507.81139277997,0.106600991864513,5
"SEM1",16,370.156793656369,0.135969496821306,5
"ATXN1",14,1134.23741649407,0.165555224585048,5
"IL10RA",14,160.154286104647,0.143102148434597,8
"CD22",14,987.019158004717,0.0902664563541624,8
"PDE7B",14,1187.27207509823,0.0108536112163364,7
"PDE8A",14,782.694675387933,0.0123135867033316,7
"LRRFIP2",14,1439.20082879432,0.0225899164830409,18
"HIP1",14,677.74509160453,0.118115489352595,11
"KIF13A",14,814.457777260291,0.0484164713811862,9
"WIPI2",14,1821.05341483263,0.020370585890192,19
"BTAF1",14,272.468320065946,0.0718757215610843,2
"JARID2",14,93.9864161193223,0.108567099593786,5
"BDP1",14,734.789760524503,0.0755065990147914,2
"SIAH1",14,528.937624370142,0.116873373203497,5
"MKLN1",14,2516.92098325607,0.00901448949586324,9
"COG2",14,116.074542698433,0.0230779457219436,9
"AHI1",14,1162.90775700158,0.00639344140961659,13
"COL24A1",14,2268.74738466005,0.0200492057677136,10
"ALDH9A1",14,930.528215155191,0.0190503393157048,15
"TP53BP2",14,581.86967442311,0.098778171076332,5
"KCNIP4",14,661.615036901115,0.0254911626710882,7
"DAAM1",14,299.869931719584,0.0502860931419645,9
"VWA8",14,1754.13874448397,0.0103052283138171,11
"TBC1D4",14,1416.66179564953,0.0584562273706126,9
"SLC8A1",14,1117.31421027783,0.026097865934309,7
"GRM2",14,275.94651333033,0.0584624985785787,7
"PRKAR1B",14,478.689839085416,0.0695565101439904,7
"RGS6",14,2707.0561139227,0.0676716386588077,7
"IGLL5",14,814.07176109999,0.0497389370145336,11
"ECHDC1",14,1393.37234556373,0.026156446654517,15
"CMSS1",14,822.349937398418,0.00654056429994895,6
"ROBO2",14,967.601442386865,0.0645538183903503,3
"SPCS3",14,1459.68289563997,0.0319787753821747,15
"HTR2A",14,679.275784034349,0.0643831752240896,7
"LPP",14,686.809287647496,0.0389766867212243,9
"MACROD2",12,1044.84298552576,0.0368130839268977,14
"DHTKD1",12,1416.39422354441,0.0058089143980463,3
"GRB14",12,1355.10278904796,0.104867436706164,11
"PTPRO",12,460.37019114437,0.0705389638222266,10
"DGKD",12,1504.02998433359,0.0571227266180889,11
"MED13L",12,241.52556245808,0.078382420634864,2
"TP63",12,156.160224943885,0.061606213023221,5
"LOC102724945",12,851.138766564084,0.104026218095919,5
"LRFN5",12,791.819374475668,0.0393235903926679,7
"RTN1",12,1155.4596587249,0.00740581167024216,9
