"Gene","Degree","Betweenness","Eigen_Centrality","Community","Functional_Category","NDD_Association","Hub_Status"
"CASP3",90,20650.0691176201,0.892662902387159,5,"Immune Signaling","No","Hub"
"CREBBP",88,20429.676898904,0.777660833099964,5,"Cell Signaling","No","Hub"
"UBC",86,13890.1825240748,0.614403530134425,5,"Cell Signaling","No","Hub"
"STAT3",80,14193.2350720551,1,5,"Immune Signaling","No","Hub"
"PTK2B",60,8592.63557012189,0.469275215477311,11,"Cell Signaling","No","Hub"
"IGF1R",58,6203.77788329425,0.722153471457141,11,"Cell Signaling","No","Hub"
"CBL",56,7284.13007553397,0.535601283961462,11,"Cell Signaling","No","Hub"
"AR",56,9045.73158770943,0.712000627531919,5,"Other Functions","No","Hub"
"IRS1",52,6676.48698876722,0.516972188697243,11,"Cell Signaling","No","Hub"
"SMAD3",52,4707.23537733924,0.746528187223577,5,"Cell Signaling","No","Hub"
"NRXN1",52,6531.42527534916,0.169368245520522,7,"Synaptic Organization","Yes","Hub"
"GRIA1",52,7891.89756301074,0.228056766529692,7,"Synaptic Organization","No","Hub"
"TFRC",50,11318.8760636223,0.314254999579373,8,"Other Functions","No","Hub"
"RBX1",48,8167.88225091635,0.441597272189567,5,"Other Functions","No","Hub"
"CDH2",48,7829.5648841551,0.582872209608051,5,"Other Functions","No","Hub"
"GNAI1",48,6363.72290270593,0.30897887866658,7,"Cell Signaling","No","Hub"
"HDAC4",46,7336.11579670466,0.515067220636248,5,"Other Functions","No","Hub"
"LEF1",46,4045.10319850564,0.577371931725354,5,"Other Functions","No","Hub"
"SH3GL2",46,7008.77169551568,0.322343997792631,11,"Other Functions","No","Hub"
"RBPJ",44,4906.40771281398,0.465718753154798,5,"Other Functions","No","Hub"
"DLG1",44,5971.72260457357,0.151746925791663,7,"Synaptic Organization","No","Hub"
"YWHAB",44,6183.54108916371,0.284779699889127,11,"Other Functions","No","Hub"
"KITLG",42,4339.76675435097,0.399351857067909,8,"Other Functions","No","Hub"
"SMARCA2",42,1914.04464667693,0.29625270556345,2,"Other Functions","No","Hub"
"SMAD4",42,2833.15145538124,0.627012511041803,5,"Cell Signaling","No","Hub"
"PRKN",42,7588.98619965596,0.280422493772494,5,"Other Functions","No","Hub"
"NFKB1",40,3605.90907482049,0.494293016731498,5,"Immune Signaling","No","Hub"
"BIN1",40,5341.50034934676,0.188718886843197,11,"Other Functions","No","Hub"
"CD86",40,5317.55969744531,0.314881007478703,8,"Immune Signaling","No","Hub"
"ATRX",40,2903.23243999654,0.280056088920987,2,"Other Functions","No","Hub"
"DLG2",40,2700.98644104927,0.128115797214205,7,"Synaptic Organization","No","Hub"
"EDN1",38,3853.40907227796,0.397709585113731,7,"Other Functions","No","Hub"
"SH3KBP1",38,2837.28544975494,0.293086986316072,11,"Other Functions","No","Hub"
"ITCH",38,3180.83573705655,0.356445957570374,5,"Other Functions","No","Hub"
"PRKCB",36,3951.09539118338,0.29276204747507,7,"Cell Signaling","No","Hub"
"GNAL",36,5099.76226351551,0.11433987501543,7,"Other Functions","No","Hub"
"DNMT1",36,5019.00615135475,0.453119364398868,5,"Other Functions","No","Hub"
"ROCK1",36,5841.85567789817,0.335075213317637,11,"Cell Signaling","No","Hub"
"GNG5",34,2964.06140208057,0.123889999091671,7,"Other Functions","No","Hub"
"VAV1",34,2283.57582853585,0.232504833008746,8,"Immune Signaling","No","Hub"
"GRID2",32,2541.28379649143,0.124577818422525,7,"Other Functions","No","Hub"
"MYO1E",32,6159.83931396857,0.0754831588927937,10,"Other Functions","No","Hub"
"CTBP1",32,5262.71451191062,0.284990534771912,5,"Other Functions","No","Hub"
"DDX10",32,2921.07112107187,0.0389420236123891,6,"Other Functions","No","Hub"
"AKAP13",32,4563.77419728776,0.0771709425697654,7,"Other Functions","No","Hub"
"SMURF1",32,1588.14737603012,0.350599639928238,5,"Other Functions","No","Hub"
"PECAM1",32,2717.21668578368,0.3922672428686,8,"Immune Signaling","No","Hub"
"PAK1",30,3540.10682500796,0.167438098495711,8,"Cell Signaling","No","Hub"
"ANK3",30,1902.04820974786,0.125458834834268,7,"Synaptic Organization","Yes","Hub"
"ATP2B2",30,5017.796539478,0.0775582204726068,7,"Other Functions","No","Hub"
"IFNB1",30,1817.67827930647,0.311756203176441,8,"Immune Signaling","No","Hub"
"XIAP",30,2133.11742106461,0.334988434106034,5,"Other Functions","No","Hub"
"EPS15L1",30,2977.88044033149,0.227376737872087,11,"Other Functions","No","Hub"
"TAF1L",30,2878.61372614339,0.144797182379235,2,"Other Functions","No","Hub"
"FMN1",30,3269.47316138061,0.0928409000061795,9,"Other Functions","No","Hub"
"NTN1",28,2469.47389580288,0.0709896125564914,3,"Other Functions","No","Hub"
"CHN2",28,3919.01397604367,0.0462573948132498,7,"Other Functions","No","Hub"
"ZAP70",28,2080.55229631713,0.288417595573213,8,"Immune Signaling","No","Hub"
"CTNND2",28,3269.40638857738,0.15871519265894,7,"Other Functions","No","Hub"
"CACNB2",28,3169.74626163404,0.0839771322007622,7,"Synaptic Organization","Yes","Hub"
"PDE4D",28,3277.99450476824,0.0622785700460157,7,"Other Functions","No","Hub"
"ARHGEF2",28,2049.44355358284,0.0933606891139559,7,"Other Functions","No","Hub"
"BCL2",28,2646.72710859006,0.241808108670265,5,"Other Functions","No","Hub"
"AGFG1",28,4526.09356865151,0.0342229874501641,9,"Other Functions","No","Hub"
"GPHN",28,6649.8573204835,0.0905933352902228,7,"Synaptic Organization","No","Hub"
"RAD51B",28,1722.09322814753,0.151713867964543,2,"Other Functions","No","Hub"
"EXOC4",26,2800.62648608864,0.0522237216370953,9,"Other Functions","No","Hub"
"GAB1",26,1709.88943833023,0.275429703586053,11,"Other Functions","No","Hub"
"LPL",26,3636.42467655153,0.142366865343639,2,"Other Functions","No","Hub"
"CAMK2D",26,2821.364742639,0.171065030980048,7,"Other Functions","No","Hub"
"AKAP9",26,1757.39844569349,0.0841816092477226,7,"Other Functions","No","Hub"
"TOP1",26,3053.83224139774,0.199532525279656,2,"Other Functions","No","Hub"
"IMMP2L",26,3035.34087638486,0.083616430092381,7,"Other Functions","No","Hub"
"ARHGAP35",26,3507.1344592979,0.110252816863139,7,"Other Functions","No","Hub"
"PWP1",26,2211.3367196066,0.0377258130258103,6,"Other Functions","No","Hub"
"SCFD1",26,3213.80092859178,0.0308672535367738,9,"Other Functions","No","Hub"
"RBBP8",26,1237.3273878006,0.173777044686507,2,"Other Functions","No","Hub"
"CAPZB",26,4368.16705863183,0.102341113839088,11,"Other Functions","No","Hub"
"ERCC1",24,2534.30981722052,0.14879549170652,2,"Other Functions","No","Non-Hub"
"KCNA5",24,849.373201810419,0.0925302096920079,7,"Other Functions","No","Non-Hub"
"PTCH1",24,1893.10574630145,0.326382512644009,5,"Other Functions","No","Non-Hub"
"PLA2G4A",24,4970.29612256418,0.116276939319697,19,"Other Functions","No","Non-Hub"
"SEC63",24,3312.95013382614,0.0117540656662763,9,"Other Functions","No","Non-Hub"
"CXCR3",24,2104.32989061612,0.192874156402741,8,"Other Functions","No","Non-Hub"
"PIP4K2A",24,2046.65699124069,0.0641039127214823,11,"Other Functions","No","Non-Hub"
"TLR7",24,1133.01415436825,0.166758765405724,8,"Other Functions","No","Non-Hub"
"ITSN1",24,2169.52878108316,0.124825539947433,11,"Other Functions","No","Non-Hub"
"CARD11",24,1043.43884041747,0.239200354289621,8,"Other Functions","No","Non-Hub"
"DPP10",24,2334.09177148717,0.0495680151593867,7,"Other Functions","No","Non-Hub"
"ETS1",24,4490.98358134898,0.353520642261535,5,"Other Functions","No","Non-Hub"
