Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR35220282_1	84.13216667935487	40.0	101.0	101	27.27272727272727	15300582.0
SRR35220282_2	83.78947443906931	41.0	101.0	101	36.36363636363637	15300582.0
SRR35220283_1	71.96691937900114	40.0	101.0	101	27.27272727272727	17640192.0
SRR35220283_2	71.32402968552177	40.0	101.0	101	27.27272727272727	17640192.0
SRR35220284_1	83.7939567708555	41.0	101.0	101	36.36363636363637	21873231.0
SRR35220284_2	83.46520222596692	42.0	101.0	101	36.36363636363637	21873231.0
SRR35220287_1	16.865677235118625	40.0	101.0	101	18.181818181818183	17108850.0
SRR35220287_2	16.49586823235026	40.0	101.0	101	18.181818181818183	17108850.0
SRR35220288_1	41.81640625083474	42.0	101.0	101	18.181818181818183	17578681.0
SRR35220288_2	41.927397565888526	43.0	101.0	101	27.27272727272727	17578681.0
SRR35220289_1	27.697632672404566	40.0	101.0	101	18.181818181818183	19850258.0
SRR35220289_2	27.734021719494166	40.0	101.0	101	18.181818181818183	19850258.0
SRR35220290_1	28.15282859455091	42.0	101.0	101	9.090909090909092	16859824.0
SRR35220290_2	28.587239091380354	42.0	101.0	101	9.090909090909092	16859824.0
SRR35220291_1	13.095049668280083	40.0	101.0	101	18.181818181818183	11441760.0
SRR35220291_2	13.088240236969739	40.0	101.0	101	18.181818181818183	11441760.0
SRR35220292_1	37.07907119712011	42.0	101.0	101	18.181818181818183	19083798.0
SRR35220292_2	37.298271916918004	43.0	101.0	101	18.181818181818183	19083798.0
