Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR35220282_1_val_1	83.63049213283243	39.0	97.74674018227661	100	27.27272727272727	14854895.0
SRR35220282_2_val_2	83.51220173666613	39.0	97.65302911935763	100	27.27272727272727	14854895.0
SRR35220283_1_val_1	71.92270958011294	40.0	95.71342021497699	100	27.27272727272727	17602721.0
SRR35220283_2_val_2	71.34035434573981	39.0	95.49766311696925	100	27.27272727272727	17602721.0
SRR35220284_1_val_1	83.51857476068875	41.0	96.91928762475746	100	27.27272727272727	21516750.0
SRR35220284_2_val_2	83.28495022808923	41.0	96.78480467542728	100	36.36363636363637	21516750.0
SRR35220287_1_val_1	16.840117050830344	40.0	96.45859385065752	100	18.181818181818183	17098511.0
SRR35220287_2_val_2	16.492950560664767	40.0	96.26546475304194	100	18.181818181818183	17098511.0
SRR35220288_1_val_1	40.90054973179769	42.0	96.19113268175347	100	18.181818181818183	17322103.0
SRR35220288_2_val_2	41.0915759969228	42.0	96.08933545770972	100	18.181818181818183	17322103.0
SRR35220289_1_val_1	27.59245988085246	40.0	96.41740338172966	100	18.181818181818183	19817137.0
SRR35220289_2_val_2	27.639295660783773	40.0	96.30078199489664	100	18.181818181818183	19817137.0
SRR35220290_1_val_1	28.058823136671535	42.0	97.69447214917886	100	18.181818181818183	16836272.0
SRR35220290_2_val_2	28.50712483099248	42.0	97.59000175335727	100	18.181818181818183	16836272.0
SRR35220291_1_val_1	13.075053822257289	40.0	96.46425401860007	100	18.181818181818183	11435761.0
SRR35220291_2_val_2	13.082781690139313	40.0	96.35196363407735	100	18.181818181818183	11435761.0
SRR35220292_1_val_1	36.716330346072276	42.0	96.56427762473766	100	18.181818181818183	18976868.0
SRR35220292_2_val_2	36.96580255015603	42.0	96.47052854032604	100	18.181818181818183	18976868.0
