"Community","Size","Top_Genes","Mean_Degree"
7,110,"NRXN1, GRIA1, GNAI1",14.8363636363636
5,97,"CASP3, CREBBP, UBC",18.5154639175258
11,75,"PTK2B, IGF1R, CBL",15.6
9,59,"FMN1, AGFG1, EXOC4",11.2542372881356
1,42,"DPY19L2, SPATA16, MFSD14A",6.76190476190476
6,41,"DDX10, PWP1, KRR1",10.8292682926829
10,41,"MYO1E, PTPN14, PTPRA",7.46341463414634
8,40,"TFRC, KITLG, CD86",14.75
2,38,"SMARCA2, ATRX, TAF1L",14.1578947368421
12,33,"NEUROD1, MAFB, WDR72",6.66666666666667
19,32,"PLA2G4A, UVRAG, WIPI2",6.75
15,26,"CNDP2, PEPD, ALDH9A1",9.15384615384615
3,25,"NTN1, SEMA3D, PLXNA2",9.6
13,16,"PPP2R2A, AHI1, TBC1D13",6.75
17,15,"SPARC, ADGRA2, MSI1",5.46666666666667
18,10,"CTNNAL1, LRRFIP2, PKP4",7.8
14,8,"MACROD2, LCORL, PARP12",6.25
4,3,"SIPA1L3, TSPAN9, TMEM241",2.66666666666667
16,2,"ADAM23, ADAM2",2
20,2,"HLX, HMBOX1",2
21,2,"KRTAP5-10, KRTAP10-4",2
22,2,"RCBTB1, FNDC3A",2
