"geneId","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","hgnc_symbol"
92,"chr2",147425670,147426070,401,"*","Distal Intergenic",2,147844517,147896447,51931,1,"ENST00000487959.5",-418447,"ENSG00000121989","ACVR2A","activin A receptor type 2A",NA
92,"chr2",147826313,147826713,401,"*","Distal Intergenic",2,147844517,147896447,51931,1,"ENST00000487959.5",-17804,"ENSG00000121989","ACVR2A","activin A receptor type 2A",NA
104,"chr21",45130515,45130915,401,"*","Promoter (2-3kb)",21,45128453,45171759,43307,1,"ENST00000464215.2",2062,"ENSG00000197381","ADARB1","adenosine deaminase RNA specific B1",NA
147,"chr5",159901792,159902192,401,"*","Intron (ENST00000641205.1/147, intron 1 of 2)",5,159916482,159973012,56531,1,"ENST00000306675.5",-14290,"ENSG00000170214","ADRA1B","adrenoceptor alpha 1B",NA
202,"chr6",106523896,106524296,401,"*","Intron (ENST00000633556.3/202, intron 4 of 21)",6,106541134,106555897,14764,1,"ENST00000457437.1",-16838,"ENSG00000112297","CRYBG1","crystallin beta-gamma domain containing 1",NA
223,"chr1",165666120,165666520,401,"*","Promoter (<=1kb)",1,165662775,165665206,2432,2,"ENST00000463610.1",-914,"ENSG00000143149","ALDH9A1","aldehyde dehydrogenase 9 family member A1",NA
274,"chr2",127145271,127145671,401,"*","Distal Intergenic",2,127048027,127107288,59262,2,"ENST00000393041.7",-37983,"ENSG00000136717","BIN1","bridging integrator 1",NA
284,"chr8",107314359,107314759,401,"*","Intron (ENST00000517746.6/284, intron 4 of 8)",8,107251527,107321989,70463,2,"ENST00000518386.5",7230,"ENSG00000154188","ANGPT1","angiopoietin 1",NA
286,"chr8",41691025,41691425,401,"*","Promoter (<=1kb)",8,41668341,41690285,21945,2,"ENST00000518061.1",-740,"ENSG00000029534","ANK1","ankyrin 1",NA
288,"chr10",60086884,60087284,401,"*","Promoter (1-2kb)",10,60086543,60088358,1816,2,"ENST00000465749.2",1074,"ENSG00000151150","ANK3","ankyrin 3",NA
288,"chr10",60218240,60218640,401,"*","Intron (ENST00000280772.7/288, intron 8 of 43)",10,60138517,60166896,28380,2,"ENST00000474360.1",-51344,"ENSG00000151150","ANK3","ankyrin 3",NA
